latitude,longitude,Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
1.366796,103.868687,KENSINGTON PARK CONDOMINIUM,2 Kensington Park Drive  #01-08 ,1,208,Strata,2110000,10144,942,15-Jan-14,Condominium,999 Yrs From 01/04/1878,1987,Resale,Private,19,55,557320,North East Region,Serangoon
1.367786,103.869599,KENSINGTON PARK CONDOMINIUM,10 Kensington Park Drive  #12-04 ,1,155,Strata,1700000,10968,1019,4-Dec-13,Condominium,999 Yrs From 01/04/1878,1990,Resale,Private,19,55,557324,North East Region,Serangoon
1.399673,103.870488,N.A.,24 Jalan Tari Dulang ,1,151,Land,2658888,17667,1641,31-Dec-13,Terrace House,999 Yrs From 01/01/1879,2008,Resale,Private,28,79,799339,North East Region,Sengkang
1.363807,103.871489,SERANGOON GARDEN ESTATE,10 Ripley Crescent ,1,446,Land,4650000,10428,969,24-Jan-14,Semi-Detached House,999 Yrs From 01/01/1953,Unknown,Resale,Private,19,55,556188,North East Region,Serangoon
1.363943,103.871549,SERANGOON GARDEN ESTATE,12 Ripley Crescent ,1,445,Land,4550000,10227,950,25-Jan-14,Semi-Detached House,999 Yrs From 01/01/1953,Unknown,Resale,Private,19,55,556190,North East Region,Serangoon
1.384709,103.873019,D' KENARIS,2D Jalan Kenarah ,1,306,Strata,2000000,6536,607,18-Dec-13,Semi-Detached House,999 Yrs From 01/01/1879,2009,Resale,Private,28,80,809011,North East Region,Serangoon
1.386017,103.878126,N.A.,92 Gerald Drive ,1,230,Land,3380000,14683,1364,10-Nov-13,Semi-Detached House,999 Yrs From 01/01/1886,2005,Resale,Private,28,79,797662,North East Region,Hougang
1.361596,103.878591,GLASGOW RESIDENCE,23 Glasgow Road  #02-06 ,1,39,Strata,574000,14718,1367,13-Jan-14,Apartment,999 Yrs From 01/01/1886,2010,Resale,Private,19,54,549338,North East Region,Hougang
1.386358,103.879898,MUGLISTON HILL,78 Mugliston Park ,1,172,Land,2188000,12736,1183,17-Dec-13,Terrace House,999 Yrs From 01/01/1886,1976,Resale,HDB,28,79,798588,North East Region,Hougang
1.366779,103.880148,FONTAINE PARRY,67 Poh Huat Road  #02-02 ,1,110,Strata,1450000,13182,1225,2-Dec-13,Condominium,999 Yrs From 22/08/1883,2010,Resale,HDB,19,54,546776,North East Region,Hougang
1.364454,103.882028,N.A.,37 Kang Choo Bin Road ,1,442,Land,4400000,9950,924,12-Nov-13,Terrace House,999 Yrs From 19/02/1883,Unknown,Resale,Private,19,54,548309,North East Region,Hougang
1.367361,103.883101,N.A.,15C Jalan Arif ,1,574,Land,7100000,12369,1149,19-Jan-14,Semi-Detached House,999 Yrs From 27/12/1875,1983,Resale,Private,19,54,548821,North East Region,Hougang
1.391724,103.903154,ST ANNE'S WOOD,21 St. Anne'S Wood ,1,151,Land,2018000,13400,1245,30-Dec-13,Terrace House,999 Yrs From 27/12/1875,1996,Resale,HDB,19,54,545251,North East Region,Sengkang
1.309879,103.904151,N.A.,138A Everitt Road ,1,105,Strata,950000,9048,841,17-Dec-13,Apartment,999 Yrs From 28/10/1991,Unknown,Resale,Private,15,42,428673,Central Region,Marine Parade
1.419119,103.909491,N.A.,31 Ponggol Twenty-Fourth Avenue ,1,898,Land,7020000,7822,727,11-Nov-13,Detached House,999 Yrs From 01/05/1874,Unknown,Resale,Private,19,82,829497,North East Region,Punggol
1.380929,103.945115,PASIR RIS BEACH PARK,15 Pasir Ris Avenue ,1,223,Land,2500000,11211,1042,16-Jan-14,Terrace House,999 Yrs From 10/02/1874,1976,Resale,Private,18,51,519682,East Region,Pasir Ris
1.378013,103.958189,WATERCREST,141 Loyang Besar Close ,1,121,Strata,1023888,8462,786,26-Nov-13,Condominium,999 Yrs From 07/09/1885,1993,Resale,Private,17,50,509036,East Region,Pasir Ris
1.341648,103.960488,TROPICANA CONDOMINIUM,2 Jalan Tiga Ratus  #03-20 ,1,144,Strata,1295000,8993,835,15-Jan-14,Condominium,999 Yrs From 06/07/1885,1994,Resale,HDB,16,48,488067,East Region,Tampines
1.378702,103.96083,OCEAN FRONT SUITES,173 Jalan Loyang Besar  #04-02 ,1,37,Strata,608900,16457,1529,28-Jan-14,Apartment,946 Yrs From 27/11/1937,Uncompleted,New Sale,HDB,17,50,509424,East Region,Pasir Ris
1.378702,103.96083,OCEAN FRONT SUITES,173 Jalan Loyang Besar  #04-04 ,1,38,Strata,618900,16287,1513,16-Jan-14,Apartment,946 Yrs From 27/11/1937,Uncompleted,New Sale,HDB,17,50,509424,East Region,Pasir Ris
1.378702,103.96083,OCEAN FRONT SUITES,173 Jalan Loyang Besar  #03-03 ,1,37,Strata,578000,15622,1451,23-Dec-13,Apartment,946 Yrs From 27/11/1937,Uncompleted,New Sale,HDB,17,50,509424,East Region,Pasir Ris
1.378702,103.96083,OCEAN FRONT SUITES,173 Jalan Loyang Besar  #03-01 ,1,37,Strata,602800,16292,1514,16-Dec-13,Apartment,946 Yrs From 27/11/1937,Uncompleted,New Sale,Private,17,50,509424,East Region,Pasir Ris
1.378702,103.96083,OCEAN FRONT SUITES,173 Jalan Loyang Besar  #02-03 ,1,37,Strata,568000,15351,1426,22-Nov-13,Apartment,946 Yrs From 27/11/1937,Uncompleted,New Sale,HDB,17,50,509424,East Region,Pasir Ris
1.378702,103.96083,OCEAN FRONT SUITES,173 Jalan Loyang Besar  #02-02 ,1,37,Strata,568000,15351,1426,20-Nov-13,Apartment,946 Yrs From 27/11/1937,Uncompleted,New Sale,HDB,17,50,509424,East Region,Pasir Ris
1.378718,103.960955,OCEAN FRONT SUITES,175 Jalan Loyang Besar  #02-14 ,1,38,Strata,609900,16050,1491,28-Jan-14,Apartment,946 Yrs From 27/11/1937,Uncompleted,New Sale,HDB,17,50,509428,East Region,Pasir Ris
1.378718,103.960955,OCEAN FRONT SUITES,175 Jalan Loyang Besar  #04-15 ,1,38,Strata,600000,15789,1467,15-Jan-14,Apartment,946 Yrs From 27/11/1937,Uncompleted,New Sale,Private,17,50,509428,East Region,Pasir Ris
1.378718,103.960955,OCEAN FRONT SUITES,175 Jalan Loyang Besar  #04-13 ,1,38,Strata,618900,16287,1513,26-Nov-13,Apartment,946 Yrs From 27/11/1937,Uncompleted,New Sale,HDB,17,50,509428,East Region,Pasir Ris
1.379518,103.963035,RIZ HAVEN,193 Jalan Loyang Besar  #03-03 ,1,53,Strata,680000,12830,1192,4-Nov-13,Apartment,946 Yrs From 01/01/1938,2010,Resale,Private,17,50,506928,East Region,Pasir Ris
1.379226,103.963835,BLUWATERS 2,205 Jalan Loyang Besar  #01-13 ,1,150,Strata,1315000,8767,814,18-Nov-13,Condominium,946 Yrs From 01/01/1938,2010,Resale,HDB,17,50,509456,East Region,Pasir Ris
