longitude,latitude,OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSFLO,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,ADDRESSUNI,DESCRIPTIO,HYPERLINK,LANDXADDRE,LANDYADDRE,NAME,PHOTOURL,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
103.87000450590658,1.321462334427476,83,69,,,330069,Geylang Bahru,I,,,,32082.77000000000,33746.13000000000,Blk 69 Geylang Bahru,,D553F0B6F2B9E36A,2014/01/29,32082.78010000000,33746.13810000000
103.80563642545832,1.3162457438461,84,7,,,260007,Empress Road,I,,,,24919.24000000000,33169.30000000000,Blk 7 Empress Road,,0CBA8BDBF53640AE,2014/01/29,24919.24430000000,33169.30140000000
103.84651928576176,1.372197429082661,85,724,,,560724,Ang Mo Kio Ave 6,I,,,,29469.07000000000,39356.14000000000,Blk 724 Ang Mo Kio Ave 6,,29E2EE23F7C77635,2014/01/29,29469.07730000000,39356.13950000000
103.76425097177352,1.303810159521795,86,726,,,120726,Clementi West Street 2,I,,,,20314.90000000000,31791.21000000000,Blk 726 Clementi West Street 2,,C709C4095C198300,2014/01/29,20313.40450000000,31794.32670000000
103.8519991905421,1.334548179426375,87,74,,,310074,Lorong 4 Toa Payoh,I,,,,30078.95000000000,35193.08000000000,Blk 74 Toa Payoh Lorong 4,,C7EA24428CD42ACA,2014/01/29,30078.95590000000,35193.08150000000
103.85294159221834,1.336038896633142,88,75,,,310075,Lorong 5 Toa Payoh,I,,,,30183.83000000000,35357.91000000000,Blk 75 Toa Payoh Lorong 5,,BFBFC8414F395E06,2014/01/29,30183.83390000000,35357.91820000000
103.81835248586366,1.287843071727536,89,79,,,150079,Redhill Lane,I,,,,26339.98000000000,30030.33000000000,Blk 79 Redhill Lane,,54A5DD6127522485,2014/01/29,26334.40010000000,30028.66790000000
103.80762159333629,1.273364905553102,90,79,,,100079,Telok Blangah Drive,I,,,,0.00000000000,0.00000000000,Blk 79 Telok Blangah Drive,,6C725D51FB307224,2014/01/29,25140.12610000000,28427.75660000000
103.8871216126676,1.327849306547042,91,80,,,370080,Circuit Road,I,,,,33988.50000000000,34452.44000000000,Blk 80 Circuit Road,,4C7F479403EBA898,2014/01/29,33987.72960000000,34452.41180000000
103.80794365187826,1.2739138266076,92,82,,,100082,Telok Blangah Drive,I,,,,25175.96000000000,28488.45000000000,Blk 82 Telok Blangah Drive,,09B0270517F7A495,2014/01/29,25175.96930000000,28488.45300000000
103.90633859804313,1.302285210766274,93,84,,,440084,Marine Parade Central,I,,,,36126.46000000000,31625.71000000000,Blk 84 Marine Parade Central,,3A61F9E30BE474A3,2014/01/29,36126.46800000000,31625.71800000000
103.93871502489593,1.332057771571001,94,85,,,460085,Bedok North Street 4,I,,,,39731.49000000000,34910.13000000000,Blk 85 Bedok North Street 4,,F90185D2E8CF8EAD,2014/01/29,39729.53580000000,34917.94780000000
103.81831295601178,1.287288887559296,95,85,,,150085,Redhill Lane,I,,,,26332.89000000000,29972.02000000000,Blk 85 Redhill Lane,,DEC023661CE4C4B6,2014/01/29,26330.00040000000,29967.38920000000
103.88544930333069,1.323445349200154,96,89,,,370089,Circuit Road,I,,,,33801.62000000000,33965.43000000000,Blk 89 Circuit Road,,0CBB77831580134E,2014/01/29,33801.62880000000,33965.44060000000
103.855002960435,1.323063278604104,97,90,,,320090,Whampoa Drive,I,,,,30428.25000000000,33909.85000000000,Blk 90 Whampoa Drive,,871F0A40B7509528,2014/01/29,30413.25500000000,33923.14270000000
103.84951350380348,1.338474765123193,98,93,,,310093,Lorong 4 Toa Payoh,I,,,,29802.32000000000,35627.26000000000,Blk 93 Toa Payoh Lorong 4,,80C71BDBC841C8EF,2014/01/29,29802.32220000000,35627.26130000000
103.89558111370766,1.31512388166022,99,13/14,,,430013,Haig Road,I,,,,34932.38000000000,33047.33000000000,Blks 13/14 Haig Road,,6DDA10C108580D29,2014/01/29,34929.22150000000,33045.32090000000
103.83918643173091,1.374539786286194,100,160/162,,,560160,Ang Mo Kio Ave 4,I,,,,28656.12000000000,39609.54000000000,Blks 160/162 Ang Mo Kio Ave 4,,BA093927D794152E,2014/01/29,28653.01970000000,39615.14230000000
103.7978354739862,1.299730580831946,101,1A/2A/3A,,,141001,Commonwealth Drive,I,,,,24055.50000000000,31341.24000000000,Blks 1A/ 2A/ 3A Commonwealth Drive,,980E5E6217D7DCF0,2014/01/29,24051.04800000000,31343.15020000000
103.9882457931345,1.38915174325599,102,2/3,,,500002,Changi Village Road,I,,,,45241.40000000000,41231.42000000000,Blks 2 & 3 Changi Village Road,,7066B789419303F2,2014/01/29,45241.40490000000,41231.42240000000
103.77696721093744,1.44340482366417,103,20/21,,,730020,Marsiling Lane,I,,,,21755.23000000000,47282.71000000000,Blks 20/21 Marsiling Lane,,4A545502F8BDB2C6,2014/01/29,21728.97050000000,47229.96710000000
103.7127998287684,1.345223213444566,104,221A/B,,,641221,Boon Lay Place,I,,,,14587.57000000000,36373.79000000000,Blks 221A/B Boon Lay Place,,846EAC9035283E3B,2014/01/29,14587.57690000000,36373.79560000000
103.82962425762996,1.287970193764082,105,22A/B,,,161022,Havelock Road,I,,,,27589.14000000000,30043.30000000000,Blks 22A/B Havelock Road,,1D667FD4702065B4,2014/01/29,27588.85310000000,30042.71990000000
103.88504355932442,1.326449977742351,106,79/79A,,,370079,Circuit Road,I,,,,33756.46000000000,34297.67000000000,Blks 79/79A Circuit Road,,A433059C2C36B34E,2014/01/29,33756.46650000000,34297.67620000000
103.84063409863181,1.380978708106393,107,628,,,560628,Ang Mo Kio Ave 4,I,,,,28819.49000000000,40332.23000000000,Blk 628 Ang Mo Kio Ave 4,,64318646AF113FE0,2014/01/29,28814.12500000000,40327.12600000000
